Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Gradient Boosting,0.7924662402274343,0.625,0.5481283422459893,0.584045584045584,0.8485538719580062
Tuned Gradient Boosting,0.7981520966595593,0.639751552795031,0.5508021390374331,0.5919540229885057,0.8459020763986314
Logistic Regression,0.7981520966595593,0.6388888888888888,0.553475935828877,0.5931232091690545,0.8428995553162741
Tuned Logistic Regression,0.7953091684434968,0.6335403726708074,0.5454545454545454,0.5862068965517241,0.842469884195868
Random Forest,0.7810945273631841,0.609271523178808,0.4919786096256685,0.5443786982248521,0.8234905860610547
Decision Tree,0.7348969438521677,0.5013477088948787,0.49732620320855614,0.4993288590604027,0.6593588064461022
